amount,historical_avg_amount,amount_multiplier,is_new_recipient,is_new_vpa_destination,is_new_originating_phone,relationship_age_days,historical_successful_txns,urgency_score,time_of_day_hour,velocity_last_24h,is_fraud
4561.17,2454.0294209641816,1.8586432816099838,0,1,0,102,5,0.365,14,0,0
3264.43,3976.27321141406,0.8209766242661368,0,0,0,623,47,0.334,8,1,0
13242.63,7927.78948291548,1.6704065958018806,0,0,0,573,44,0.182,13,1,0
28345.6,73526.93294863321,0.3855131044246181,0,0,0,389,27,0.204,15,1,0
13889.31,8434.26804647157,1.6467712588309331,0,0,0,657,21,0.441,10,0,0
4990.35,8746.763072554884,0.5705364336724538,0,0,0,242,7,0.215,14,1,0
13127.52,16699.47613064999,0.7861035991387092,1,1,1,731,91,0.406,8,2,0
714.49,5025.336620701841,0.14217782681652857,1,1,1,9,0,0.424,22,7,1
6478.08,7178.972433688123,0.9023690939900594,0,0,0,713,24,0.12,8,2,0
3541.32,4678.59652326414,0.7569193475409829,0,0,0,660,21,0.443,19,0,0
2116.11,3603.9225336258187,0.5871679042040765,0,0,0,161,17,0.154,18,0,0
6642.06,2952.0883003909007,2.249952279412803,0,0,0,105,6,0.323,9,1,0
30126.46,35438.3731586249,0.8501085065236923,0,0,0,114,3,0.291,17,0,0
2017.38,2556.778047252788,0.7890336318408887,0,0,0,658,17,0.31,7,0,0
4098.1,4854.967850914237,0.8441051998839757,0,0,0,238,26,0.207,7,0,0
3623.74,5082.90359322602,0.7129267983218723,0,0,0,69,1,0.172,19,1,0
3693.92,3397.407866039601,1.0872751212056329,1,1,1,381,31,0.485,15,0,0
6087.44,3941.062471551877,1.5446179392600619,0,0,0,506,38,0.424,7,0,0
17242.04,17956.720556143657,0.9601995815670306,0,0,0,405,28,0.214,14,0,0
20794.91,10049.435338057352,2.069261360865573,0,0,0,120,3,0.226,12,0,0
82019.53,60457.33454692093,1.3566514858492758,0,0,0,522,32,0.296,12,2,0
23602.94,66539.80647912862,0.35471911662653893,0,0,0,128,4,0.349,16,2,0
40227.04,29795.573819126195,1.350101078658365,0,0,0,465,13,0.032,14,0,0
1216.81,2808.566502227074,0.43325011236788435,1,1,1,108,8,0.286,15,2,0
38714.36,20813.72288792678,1.8600399417580362,0,0,0,646,32,0.523,13,0,0
22354.79,21309.308239628455,1.0490621142850007,0,0,0,785,28,0.5,12,0,0
16257.77,18742.130452051548,0.8674449737904866,0,0,0,555,16,0.467,9,0,0
5425.37,2935.744012991418,1.8480390507461273,0,0,0,437,36,0.419,13,0,0
2043.49,2604.302924019627,0.7846587351183127,0,0,0,539,16,0.217,11,1,0
4112.22,7757.237091989306,0.5301140103308156,0,0,0,790,35,0.168,16,0,0
3903.19,3527.1601094165935,1.1066100031483872,0,0,0,228,8,0.373,8,3,0
20521.64,38675.234435487066,0.5306144298716522,1,1,1,575,15,0.089,11,2,0
14628.46,10140.905629571189,1.4425205315383494,0,0,0,298,13,0.253,12,1,0
29303.9,12584.646067053696,2.3285442130470875,0,0,0,358,21,0.589,11,0,0
9991.97,9194.654848613056,1.0867145444518334,0,0,0,211,5,0.166,17,2,0
67304.61,95449.78931834601,0.7051310401275759,0,0,0,759,58,0.29,16,1,0
19423.52,14036.493083298083,1.3837873105385632,0,1,0,287,9,0.646,16,1,1
6847.8,5709.051031194153,1.1994644476292353,0,0,0,422,52,0.158,9,0,0
12392.08,16826.63594799093,0.7364560248216109,1,1,1,19,0,0.515,5,7,1
22482.72,16753.544600345966,1.3419681418669092,0,0,0,532,48,0.512,9,1,0
12073.5,8079.567012518531,1.4943257430695465,0,0,0,779,35,0.431,10,1,0
6726.93,17293.227896401513,0.3889919631899504,0,0,0,256,9,0.194,9,3,0
14057.3,38571.83293777493,0.36444479605176455,1,1,1,101,3,0.288,18,2,0
1508.0,2030.689010416294,0.7426039655022852,0,0,0,70,8,0.229,14,2,0
12878.23,11420.246068721433,1.1276665827107717,1,1,1,137,3,0.291,13,0,0
66208.07,26136.38639495628,2.533176185789787,0,0,0,795,27,0.084,10,0,0
29173.39,56625.69739218194,0.5151969844109009,0,0,0,546,16,0.137,13,0,0
16610.71,14301.211745482356,1.1614900226570835,0,0,0,16,1,0.043,7,0,0
26957.96,30383.69556789577,0.8872509413328705,0,0,0,284,7,0.412,13,1,0
14260.61,18591.42693926078,0.7670532192242431,1,1,1,622,24,0.306,14,1,0
5663.73,6691.48793936987,0.8464078771106854,0,0,0,283,20,0.205,9,0,0
12383.43,9527.204271426017,1.299797251336617,0,0,0,217,8,0.228,9,1,0
7046.71,14783.799249525435,0.47665073638816513,0,0,0,759,33,0.011,8,2,0
8850.8,22261.101882181338,0.39759037279468523,0,0,0,653,36,0.022,11,2,0
22719.71,20598.483117757194,1.1029798094794534,0,0,0,390,32,0.147,15,0,0
25107.1,4958.352957863131,5.06359592822479,0,1,1,163,6,0.764,3,1,1
25689.84,33467.46774658816,0.7676064268354533,1,1,1,639,27,0.098,11,0,0
22370.06,33870.19332928952,0.6604645482506425,0,0,0,618,51,0.218,9,1,0
46119.08,70197.3331607407,0.6569919756405012,0,0,0,286,22,0.231,8,1,0
2691.78,2944.2793689699547,0.914242232395099,0,0,0,247,13,0.112,15,0,0
832.07,2718.5234685946616,0.3060742428034077,0,0,0,186,5,0.112,13,0,0
16064.76,11794.213846989709,1.3620884432920926,1,1,1,404,13,0.203,2,1,0
2996.82,4858.464387533478,0.6168244757979141,0,0,0,174,8,0.03,15,0,0
4541.36,4576.2371849877,0.9923786358727038,0,0,0,459,35,0.252,18,1,0
4140.46,4550.9431268903045,0.9098017040306378,0,0,0,456,32,0.223,8,1,0
14423.61,13431.954359048754,1.073828061276112,0,0,0,450,12,0.418,12,0,0
17387.23,15780.806718958396,1.1017960711057249,0,0,0,120,4,0.286,14,1,0
6746.73,4419.298040921767,1.5266522968868768,0,0,0,273,7,0.176,13,1,0
3312.03,19890.376030009116,0.16651426030834607,0,0,0,27,1,0.164,10,1,0
6304.86,16563.133733769995,0.38065651570374825,1,1,1,10,0,0.382,17,7,1
5507.87,6262.915031851695,0.8794418928934814,1,1,1,135,7,0.342,3,0,0
13332.87,6283.207849307726,2.121984613996512,1,1,1,307,8,0.31,13,0,0
1847.19,15819.659778071667,0.1167654024452955,1,1,1,19,0,0.402,23,4,1
2533.49,3089.0056433600744,0.8201633407533898,0,0,0,492,49,0.31,18,0,0
3650.24,3354.4674158030994,1.0881728552858851,0,0,0,360,40,0.01,15,1,0
14284.08,12689.645793406218,1.1256487121855043,0,1,0,252,8,0.766,9,1,1
29224.19,29075.273415524258,1.0051218435147011,0,0,0,119,6,0.294,7,2,0
12702.63,13536.908791774884,0.938369785827568,0,0,0,487,23,0.085,13,1,0
4565.02,6607.6849016726455,0.6908650883317425,0,0,0,428,23,0.307,10,0,0
3086.58,3763.4448821093424,0.8201473536986251,0,0,0,651,17,0.179,15,3,0
37458.77,20368.75205077907,1.8390313130873284,0,0,0,641,71,0.169,10,2,0
4903.19,2337.4228048798213,2.0976915976583297,0,0,0,573,27,0.104,9,2,0
2751.47,4053.0070973890424,0.6788720790625528,0,0,0,251,19,0.173,8,1,0
16117.37,17317.564246124064,0.9306949639788493,0,0,0,243,6,0.365,11,0,0
5524.76,8870.6484868189,0.622813214732105,0,0,0,606,18,0.545,11,0,0
44770.8,41602.96814461051,1.0761443414364669,0,0,0,72,2,0.186,11,1,0
8890.19,6756.587924867343,1.315780895394545,0,0,0,623,51,0.361,13,3,0
9796.76,22421.15715852954,0.43694245687567645,1,1,1,11,0,0.359,23,8,1
9184.84,8220.990182332409,1.1172424069561482,0,0,0,244,7,0.434,16,0,0
38200.24,27290.51067933625,1.3997627305414122,0,0,0,474,12,0.177,13,0,0
17226.58,21498.881669406437,0.8012778197206378,1,1,1,253,19,0.569,16,0,0
11282.28,17663.420217908395,0.638737083282942,1,1,1,18,0,0.593,16,8,1
34445.66,23821.9572858996,1.4459627574624767,0,0,0,494,27,0.385,11,3,0
8039.0,4347.4349067921985,1.8491372696363948,0,0,0,21,1,0.476,10,0,0
24694.73,10497.285031709653,2.352486998935848,0,0,0,27,1,0.024,16,0,0
43597.46,25275.653564251923,1.7248795230294731,0,0,0,693,34,0.114,15,0,0
26201.21,18817.738581433034,1.3923677622888857,0,0,0,188,18,0.173,8,0,0
31195.89,34096.08141294297,0.9149406558842097,0,0,0,108,7,0.358,9,1,0
20219.5,25051.989211614142,0.8071014472162428,0,0,0,414,15,0.165,14,1,0
50676.11,74081.81757713047,0.6840560212800596,1,1,1,454,25,0.295,9,1,0
3116.29,3444.477944280414,0.9047192050964421,0,0,0,89,2,0.45,9,1,0
1321.33,2985.2221165535475,0.4426225030548906,0,0,0,318,16,0.312,11,2,0
8692.66,10150.36263806968,0.8563894372545618,0,0,0,219,8,0.094,11,1,0
84113.13,38840.393083135576,2.165609724502408,0,0,0,697,43,0.291,12,1,0
37279.38,13326.090656260385,2.797472785226405,0,0,0,427,11,0.177,0,1,0
2857.65,4670.079224840831,0.611905363586292,0,0,0,786,31,0.232,12,1,0
6323.37,15639.540608506326,0.40431934787665497,0,0,0,488,15,0.122,12,0,0
