amount,historical_avg_amount,amount_multiplier,is_new_recipient,is_new_vpa_destination,is_new_originating_phone,relationship_age_days,historical_successful_txns,urgency_score,time_of_day_hour,velocity_last_24h,is_fraud
18875.59,12507.8374258994,1.5091009378776683,0,0,0,741,23,0.425,16,2,0
1861.2,2842.801679191339,0.6547074130231787,0,0,0,48,6,0.409,13,3,0
26032.89,16943.513776690914,1.536451435387468,0,0,0,424,42,0.149,9,1,0
48613.05,84714.32120715425,0.5738468970574432,0,0,0,275,8,0.333,14,0,0
26037.37,25880.249454499542,1.0060710184621935,0,0,0,557,16,0.074,11,1,0
178796.68,51276.223006112356,3.486931522798765,0,0,0,727,19,0.121,15,1,0
17419.03,28786.813124914854,0.6051044502651846,0,0,0,795,26,0.384,10,0,0
2998.29,6110.0792715292655,0.4907115025140472,0,0,0,676,35,0.177,17,0,0
37160.04,23538.300377755102,1.578705159201961,0,0,0,730,27,0.099,7,1,0
66959.8,32167.08137182945,2.0816249110467235,0,0,0,729,31,0.176,9,1,0
16362.73,8766.420668737019,1.8665238703057017,0,0,0,64,1,0.113,14,1,0
1842.91,2274.946376699896,0.8100878298374993,0,0,0,458,26,0.445,10,1,0
36754.29,28554.124499408095,1.2871796114770164,0,0,0,289,10,0.185,18,2,0
11861.61,5620.114880965895,2.110564414456133,0,0,0,265,7,0.193,10,0,0
58492.58,23014.206912590307,2.5415859503543463,0,0,0,513,16,0.206,10,0,0
31194.09,29293.783815529732,1.0648707763890257,0,0,1,33,3,0.185,6,0,0
71960.33,73365.78451592053,0.9808432391880988,0,0,0,627,62,0.126,21,0,0
4443.42,5503.044493186242,0.8074474793360167,1,1,1,306,21,0.108,15,0,0
82890.66,46503.380851609545,1.782465178435072,0,0,0,73,4,0.319,13,0,0
25229.18,17096.197875836515,1.4757189458668403,0,0,0,460,27,0.169,12,2,0
35658.71,39976.8975393086,0.891982822352334,0,0,0,170,10,0.388,17,0,0
10904.78,7007.054503153617,1.55625693211279,0,0,0,60,4,0.113,13,0,0
3738.21,6852.967503748475,0.5454872827145988,0,1,0,685,19,0.333,9,2,0
10878.0,6361.492678906118,1.709975947396065,0,0,0,169,4,0.209,9,0,0
6021.99,7534.634206446752,0.7992412771221686,0,0,0,143,4,0.387,10,1,0
7166.72,5126.789880869099,1.397896465627666,0,0,0,78,3,0.261,11,1,0
4963.37,5522.181611779293,0.8988054800181422,0,0,0,336,24,0.05,9,0,0
30626.77,19206.706735600346,1.594587125934252,0,0,0,91,10,0.377,11,0,0
3696.52,3695.643866041696,1.0002370988505682,0,0,0,18,1,0.448,8,1,0
39189.0,34791.4469776695,1.1263974031290362,0,0,0,697,87,0.013,8,0,0
13324.42,11736.430896971073,1.1353040327706982,0,0,0,61,2,0.434,17,1,0
25933.15,23282.75382298155,1.1138351685796468,0,0,0,357,11,0.065,9,1,0
10403.87,6004.8448487490095,1.732580094486997,0,0,0,26,1,0.165,13,2,0
36743.41,18050.18811219735,2.0356250338298634,0,0,0,728,23,0.392,8,1,0
